              ,                                                 ,            ,         ,                            ,                                                                                                             ,                                                                                                                                            ,                                                                                                            , 
Component     , File Path                                       , Line Number, Severity, Issue Type                 , Issue Description                                                                                           , Code Snippet                                                                                                                               , Suggested Fix                                                                                              , Source
Helpers       , helpers/tptimer.h                               , 70         , Medium  , Race Condition             , "Timer member variables m_isActive, m_isSingleShot accessed without synchronization"                        , "bool isActive()
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    return m_isActive;
                                                                                                                                                                                                                                    }
                                                                                                                                                                                                                                    void stop()
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    baseTimer.Revoke(m_timerJob);
                                                                                                                                                                                                                                    m_isActive = false;
                                                                                                                                                                                                                                    }"                                                                                                                                         , Protect member variables with mutex for thread-safe access                                                 , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 72         , Medium  , Thread Safety              , Thread created with std::thread without proper synchronization of shared state                              , "if (!eventLoopThread_)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    LOGINFO(""Starting new event loop thread"");
                                                                                                                                                                                                                                    eventLoopThread_ = std::thread([this]() {"                                                                                                 , Add mutex protection for eventLoopThread_ access                                                           , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 85         , Low     , Unchecked Return Value     , Thread join without error checking                                                                          , "if (eventLoopThread_ && eventLoopThread_->joinable())
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    LOGINFO(""Event loop thread is joinable. Waiting for join."");
                                                                                                                                                                                                                                    eventLoopThread_->join();"                                                                                                                 , Add try-catch for potential exceptions during join                                                         , Manual Static Analysis
Helpers       , helpers/UtilsIarm.h                             , 55         , Low     , Unchecked Return Value     , usleep return value not checked in IARM init retry loop                                                     , if(result == false) usleep(100000);                                                                                                        , Check usleep return value for error handling                                                               , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 145        , Low     , Unchecked Return Value     , _powerManagerPlugin->GetPowerState return value stored but not fully error handled                          , "res = _powerManagerPlugin->GetPowerState(pwrStateCur, pwrStatePrev);
                                                                                                                                                                                                                                    if (Core::ERROR_NONE == res)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    if (pwrStateCur == WPEFramework::Exchange::IPowerManager::POWER_STATE_ON)
                                                                                                                                                                                                                                    powerStatus = true;
                                                                                                                                                                                                                                    }"                                                                                                                                         , Add specific error handling for different error codes                                                      , Manual Static Analysis
Helpers       , helpers/UtilsString.h                           , 173        , Low     , Buffer Overflow            , imageEncoder function has complex bit manipulation without bounds checking                                  , "while (index < length) {
                                                                                                                                                                                                                                    if (state == 0) {
                                                                                                                                                                                                                                    result += base64_chars[((object[index] & 0xFC) >> 2)];"                                                                                    , Add bounds checking for base64_chars array access                                                          , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 119        , Low     , Unchecked Return Value     , endpointImpl_.send error code checked but not all error conditions handled                                  , "endpointImpl_.send(connectionHandler_, message, MessagingInterface<WSEndpoint>::opcode_, ec);
                                                                                                                                                                                                                                    if (ec)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    LOGERR(""Sending failed, reason: %s"", ec.message().c_str());
                                                                                                                                                                                                                                    return false;
                                                                                                                                                                                                                                    }"                                                                                                                                         , Add specific handling for different websocket error codes                                                  , Manual Static Analysis
Helpers       , helpers/cSettings.h                             , 133        , Low     , Unchecked Return Value     , Remove function assigns empty value but doesn't verify assignment success                                   , "data[key.c_str()] = """";
                                                                                                                                                                                                                                    data.Remove(key.c_str());"                                                                                                                 , Verify data operations succeed before proceeding                                                           , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 71         , Critical, Race Condition             , Static singleton s_instance accessed without synchronization                                                , CFrontPanel* CFrontPanel::s_instance = NULL;                                                                                               , Use mutex protection or atomic operations for thread-safe singleton access                                 , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 73         , High    , Race Condition             , Global static variables accessed without synchronization across threads                                     , static int globalLedBrightness = 100;                                                                                                      , Protect with mutex or use atomic types for thread-safe access                                              , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 152        , High    , Memory Leak                , Singleton instance created with new but never deleted                                                       , if (!s_instance) s_instance = new CFrontPanel;                                                                                             , Implement proper singleton cleanup or document lifetime                                                    , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 648        , Medium  , File Handle Leak           , File operations without guaranteed close on error paths in setPreferences                                   , file.Open(false); if (!file.IsOpen()) file.Create();                                                                                       , Use RAII or ensure file.Close() in all error paths                                                         , Manual Static Analysis
Helpers       , helpers/cSettings.h                             , 45         , High    , File Handle Leak           , fstream opened but not closed on error path in constructor                                                  , "fs.open(filename.c_str(), std::fstream::in | std::fstream::out | std::fstream::app);"                                                     , Ensure fs.close() is called on all paths                                                                   , Manual Static Analysis
Helpers       , helpers/cSettings.h                             , 171        , Medium  , File Handle Leak           , ofstream in writeToFile without guaranteed close on all error paths                                         , "ofstream ofile; ofile.open(filename.c_str(), ios::out);"                                                                                  , Use RAII or ensure ofile.close() in all error paths                                                        , Manual Static Analysis
Helpers       , helpers/cSettings.h                             , 196        , Medium  , File Handle Leak           , fstream in readFromFile without guaranteed close on all error paths                                         , "fstream ifile(filename, ios::in);"                                                                                                        , Use RAII or ensure ifile.close() in all error paths                                                        , Manual Static Analysis
Helpers       , helpers/UtilsFile.h                             , 55         , Medium  , Resource Leak              , File objects fileFrom and fileTo may not be properly closed on error paths in MoveFile                      , File fileFrom(from); File fileTo(to);                                                                                                      , Ensure proper cleanup of file handles on all error paths                                                   , Manual Static Analysis
Helpers       , helpers/UtilsProcess.h                          , 37         , High    , Resource Leak              , openproc PROCTAB pointer not closed on early return                                                         , PROCTAB* proc = openproc(PROC_FILLMEM | PROC_FILLSTAT | PROC_FILLSTATUS);                                                                  , Ensure closeproc(proc) is called on all return paths                                                       , Manual Static Analysis
Helpers       , helpers/UtilsProcess.h                          , 63         , High    , Resource Leak              , openproc PROCTAB pointer in getChildProcessIDs not closed on early return                                   , PROCTAB* proc = openproc(...);                                                                                                             , Ensure closeproc(proc) is called on all return paths                                                       , Manual Static Analysis
Helpers       , helpers/PluginInterfaceBuilder.h                , 90         , Medium  , Thread Safety              , usleep in createInterface retry loop without checking interruption                                          , usleep(retry_interval*1000);                                                                                                               , Add interruption check for thread cancellation                                                             , Manual Static Analysis
Helpers       , helpers/tptimer.h                               , 70         , Medium  , Race Condition             , "Timer member variables m_isActive, m_isSingleShot accessed without synchronization"                        , bool isActive() { return m_isActive; }                                                                                                     , Protect member variables with mutex for thread-safe access                                                 , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 72         , Medium  , Thread Safety              , Thread created with std::thread without proper synchronization of shared state                              , eventLoopThread_ = std::thread([this]() {                                                                                                  , Add mutex protection for eventLoopThread_ access                                                           , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 85         , Low     , Unchecked Return Value     , Thread join without error checking                                                                          , eventLoopThread_->join();                                                                                                                  , Add try-catch for potential exceptions during join                                                         , Manual Static Analysis
Helpers       , helpers/UtilsIarm.h                             , 55         , Low     , Unchecked Return Value     , usleep return value not checked in IARM init retry loop                                                     , if(result == false) usleep(100000);                                                                                                        , Check usleep return value for error handling                                                               , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 145        , Low     , Unchecked Return Value     , _powerManagerPlugin->GetPowerState return value stored but not fully error handled                          , "res = _powerManagerPlugin->GetPowerState(pwrStateCur, pwrStatePrev);"                                                                     , Add specific error handling for different error codes                                                      , Manual Static Analysis
Helpers       , helpers/UtilsString.h                           , 173        , Low     , Buffer Overflow            , imageEncoder function has complex bit manipulation without bounds checking                                  , result += base64_chars[((object[index] & 0xFC) >> 2)];                                                                                     , Add bounds checking for base64_chars array access                                                          , Manual Static Analysis
Helpers       , helpers/WebSockets/WSEndpoint.cpp               , 119        , Low     , Unchecked Return Value     , endpointImpl_.send error code checked but not all error conditions handled                                  , "endpointImpl_.send(connectionHandler_, message, MessagingInterface<WSEndpoint>::opcode_, ec);"                                            , Add specific handling for different websocket error codes                                                  , Manual Static Analysis
Helpers       , helpers/cSettings.h                             , 133        , Low     , Unchecked Return Value     , Remove function assigns empty value but doesn't verify assignment success                                   , "data[key.c_str()] = """"; data.Remove(key.c_str());"                                                                                      , Verify data operations succeed before proceeding                                                           , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 680        , Low     , Unchecked Return Value     , blinkTimer.Schedule return value not checked                                                                , "blinkTimer.Schedule(Core::Time::Now().Add(blinkInfo.durationInMs), m_blinkTimer);"                                                        , Check return value and handle scheduling failures                                                          , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 48         , Medium  , Unchecked Return Value     , std::remove return value not checked in removeFile                                                          , if (std::remove(fileName) != 0)                                                                                                            , Check return value and handle error appropriately                                                          , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 59         , Medium  , File Handle Leak           , ifstream in removeEntryFromFile without guaranteed close on error path                                      , std::ifstream inputFile(fileName);                                                                                                         , Use RAII or ensure file closed on all error paths                                                          , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 75         , Medium  , File Handle Leak           , ofstream in removeEntryFromFile without guaranteed close on error path                                      , std::ofstream outputFile(fileName);                                                                                                        , Use RAII or ensure file closed on all error paths                                                          , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 93         , Low     , File Handle Leak           , ofstream in createFile without explicit close                                                               , std::ofstream fileContentStream(fileName);                                                                                                 , Add explicit close or document RAII behavior                                                               , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 155        , Low     , Unchecked Return Value     , remove return value not checked in removeFile                                                               , if (std::remove(fileName) != 0)                                                                                                            , Check return value and handle error cases                                                                  , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 167        , Low     , File Handle Leak           , ofstream in createFile without explicit close                                                               , std::ofstream fileContentStream(fileName);                                                                                                 , Add explicit close or document RAII behavior                                                               , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 247        , High    , Buffer Overflow            , sprintf to fixed buffer without size check in send_rtsp_msg                                                 , "ssize_t bytes_sent = send(sockfd, msg_buffer.c_str(), msg_buffer.size(), 0);"                                                             , Use snprintf with buffer size limit                                                                        , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 267        , Medium  , Unchecked Return Value     , select return value checked but not all error codes handled                                                 , "if (select(m_Sockfd + 1, &readFDSet, nullptr, nullptr, &timeout) > 0)"                                                                    , Handle select error cases including EINTR                                                                  , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 285        , Medium  , Unchecked Return Value     , recv return value checked but errno handling incomplete                                                     , "recv_return = recv(socket_fd, buffer, buffer_len, 0);"                                                                                    , Add comprehensive errno handling for all error cases                                                       , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 311        , High    , Resource Leak              , Socket file descriptor not closed on error path in initialize_ServerSocket                                  , "if ((server_fd = socket(AF_INET, SOCK_STREAM, 0)) < 0)"                                                                                   , Ensure close(server_fd) on all error paths                                                                 , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_XCast.cpp              , 88         , Medium  , Memory Leak                , Multiple new allocations without guaranteed delete on exception                                             , p_wrapsImplMock = new NiceMock<WrapsImplMock>;                                                                                             , Use smart pointers or ensure cleanup on all exception paths                                                , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_XCast.cpp              , 180        , Medium  , Memory Leak                , mockNetworkManager and mServiceMock allocated with new                                                      , mockNetworkManager = new MockINetworkManager();                                                                                            , Use smart pointers for automatic cleanup                                                                   , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_XCast.cpp              , 228        , Low     , Memory Leak                , Delete order may cause issues if objects are interdependent                                                 , delete mockNetworkManager; delete mServiceMock;                                                                                            , Ensure proper destruction order and document dependencies                                                  , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_UtilsFile.cpp          , 37         , Low     , Unchecked Return Value     , File operations without comprehensive error checking                                                        , EXPECT_TRUE(dir.Destroy());                                                                                                                , Add error handling for file system operations                                                              , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_UtilsFile.cpp          , 48         , Low     , Unchecked Return Value     , File Write return value checked with EXPECT_EQ but no error handling                                        , "EXPECT_EQ(sizeof(bytes), file.Write(bytes, sizeof(bytes)));"                                                                              , Add explicit error handling beyond test assertions                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 48         , Medium  , Unchecked Return Value     , std::remove return value not checked                                                                        , if (std::remove(fileName) != 0)                                                                                                            , Check return value                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 59         , Medium  , File Handle Leak           , ifstream without close on error                                                                             , std::ifstream inputFile(fileName);                                                                                                         , Ensure file closed                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastService.cpp    , 75         , Medium  , File Handle Leak           , ofstream without close on error                                                                             , std::ofstream outputFile(fileName);                                                                                                        , Ensure file closed                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 247        , High    , Buffer Overflow            , sprintf without size check                                                                                  , ssize_t bytes_sent = send(...);                                                                                                            , Use snprintf                                                                                               , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 267        , Medium  , Unchecked Return Value     , select not fully handled                                                                                    , if (select(...) > 0)                                                                                                                       , Handle all error codes                                                                                     , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 285        , Medium  , Unchecked Return Value     , recv errno incomplete                                                                                       , recv_return = recv(...);                                                                                                                   , Add errno handling                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_MiracastPlayer.cpp     , 311        , High    , Resource Leak              , Socket not closed on error                                                                                  , if ((server_fd = socket(...)) < 0)                                                                                                         , Ensure close on error                                                                                      , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_XCast.cpp              , 88         , Medium  , Memory Leak                , new without guaranteed delete                                                                               , p_wrapsImplMock = new ...;                                                                                                                 , Use smart pointers                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_XCast.cpp              , 180        , Medium  , Memory Leak                , new for mock objects                                                                                        , mockNetworkManager = new ...;                                                                                                              , Use smart pointers                                                                                         , Manual Static Analysis
Tests         , Tests/L1Tests/tests/test_UtilsFile.cpp          , 37         , Low     , Unchecked Return Value     , File ops without checks                                                                                     , EXPECT_TRUE(dir.Destroy());                                                                                                                , Add error handling                                                                                         , Manual Static Analysis
